id	url	name	orgid	orgname
58319	Cредства материнского (семейного) капитала, переведенные  на формирование накопительной  пенсии	66	Министерство труда и социальной защиты Российской Федерации
58271	«Доля муниципальных образований, имеющих утвержденные документы территориального планирования и градостроительного зонирования, в общем количестве муниципальных образований»	69	Министерство экономического развития Российской Федерации
39441	Абонентские устройства в городской местности, подсоединенные к станциям сети данного оператора всего (без таксофонов)	18	Министерство связи и массовых коммуникаций Российской Федерации
39434	Абонентские устройства в сельской местности, подсоединенные к станциям сети данного оператора всего (без таксофонов)	18	Министерство связи и массовых коммуникаций Российской Федерации
39439	Абонентские устройства квартирные в городской местности, подсоединенные к станциям сети данного оператора всего (без таксофонов)	18	Министерство связи и массовых коммуникаций Российской Федерации
39432	Абонентские устройства квартирные в сельской местности, подсоединенные к станциям сети данного оператора всего (без таксофонов)	18	Министерство связи и массовых коммуникаций Российской Федерации
39440	Абонентские устройства основные в городской местности, подсоединенные к станциям сети данного оператора всего (без таксофонов)	18	Министерство связи и массовых коммуникаций Российской Федерации
39433	Абонентские устройства основные в сельской местности, подсоединенные к станциям сети данного оператора всего (без таксофонов)	18	Министерство связи и массовых коммуникаций Российской Федерации
51549	Авиационная подвижность населения Арктической зоны Российской Федерации	33	Федеральное агентство воздушного транспорта
45393	Амортизация нематериальных активов по 2016 г.	1	Федеральная служба государственной статистики
53704	Амортизация основных средств накопленной величиной к концу года по  федеральным бюджетным и автономным учреждениям (39.07.2)	39	Федеральное казначейство
53707	Амортизация основных средств накопленной величиной к концу года по федеральным бюджетным и автономным учреждениям, к предыдущему году (39.07.2.1)	39	Федеральное казначейство
53680	Амортизация основных средств накопленной величиной к концу года по федеральным государственным органам и федеральным государственным учреждениям (39.07.1)	39	Федеральное казначейство
53705	Амортизация основных средств накопленной величиной к концу года по федеральным государственным органам и федеральным государственным учреждениям, к предыдущему году (39.07.1.1)	39	Федеральное казначейство
45394	Амортизация основных средств по 2016 г.	1	Федеральная служба государственной статистики
